category,source,precombine_value,classification,note
vendor_blog,"Medium simpsons (Hudi committer, CRUD)",date_col,UNCLEAR,basic CRUD tutorial; generic date
vendor_blog,Alibaba Cloud Flink (Hudi result table),ts,UNCLEAR,Alibaba Flink Hudi connector docs
vendor_blog,Medium Plumbers (COW explained),year,UNCLEAR,COW deep-dive; non-timestamp
vendor_blog,Databricks Community (Hudi in Databricks),ts,UNCLEAR,Databricks SQL CREATE TABLE preCombineField
vendor_blog,aws-samples/aws-glue-samples,updated_at,VULNERABLE,AWS Glue Hudi dataframe notebook
vendor_blog,aws-samples/dbt-glue,eventtime,VULNERABLE,AWS dbt-glue README
vendor_blog,dbt-labs/docs.getdbt.com,eventtime,VULNERABLE,dbt Glue setup docs
vendor_blog,aws/aws-emr-containers-best-practices,last_update_time,VULNERABLE,AWS EMR-on-EKS best practices
vendor_blog,aws-samples/emr-studio-notebook-examples,creation_date,VULNERABLE,EMR serverless notebook
vendor_blog,aws-samples/spark-on-aws-lambda,last_upd_timestamp,VULNERABLE,AWS Lambda spark sample
vendor_blog,dacort/modern-data-lake-storage-layers,last_update_time,VULNERABLE,widely-cited MDLSL notebook
vendor_blog,PacktPublishing/Simplify-Big-Data-Analytics-EMR,last_update_time,VULNERABLE,Packt book chapter 11
vendor_blog,PacktPublishing/Serverless-ETL-and-Analytics-AWS-Glue,record_creation_time,VULNERABLE,Packt book ch13 kafka consumer
vendor_blog,nmukerje/EMR-Hudi-Workshop,order_date,VULNERABLE,AWS EMR Hudi workshop
vendor_blog,soumilshah1995/apache-hudi-delta-streamer-labs,updated_at,VULNERABLE,deltastreamer lab
vendor_blog,soumilshah1995/universal-postgres-ingestion-deltastreamer,_event_origin_ts_ms,VULNERABLE,Postgres CDC via Debezium; event ts_ms
vendor_blog,vasilyu1983/AI-Agents-public (skill template),created_at,VULNERABLE,AI-generated data-lake skill template
vendor_blog,vasilyu1983/AI-Agents-public (skill template),updated_at,VULNERABLE,AI-generated skill template alt example
vendor_blog,theneoai/awesome-skills (lakehouse-expert),updated_at,VULNERABLE,AI skill 'standards' reference
vendor_blog,AWS Glue Developer Guide,updated_at,VULNERABLE,AWS Glue Hudi Spark example
vendor_blog,"AWS Big Data blog (HudiJob.py, hudi-on-glue)",update_ts_dms,VULNERABLE,DMS update timestamp
vendor_blog,Huawei Cloud DLI (Flink SQL Hudi),order_time,VULNERABLE,Flink SQL Hudi sink; business event time
vendor_blog,olivermascarenhas.com (analytical data lake),updateDate,VULNERABLE,personal blog; update date
vendor_blog,AWS EMR docs (work with Hudi dataset),last_update_time,VULNERABLE,EMR ReleaseGuide Spark example
vendor_blog,Medium Eswaramoorthy (COW read/write),src_rcv_ts,VULNERABLE,source-received timestamp (wall-clock)
vendor_blog,Medium Soumil Shah (Hudi Streamer LocalStack),replicadmstimestamp,VULNERABLE,DMS replication timestamp
qa_forum,apache/hudi issue #2075,VERSION,SAFE,asker uses monotonic VERSION (but string-compare breaks >9)
qa_forum,apache/hudi issue #5000,version,SAFE,asker: 'using version as my preCombineKey'
qa_forum,apache/hudi issue #7335,ts,UNCLEAR,asker wants update only when incoming ts greater
qa_forum,apache/hudi issue #11421,timestamp,UNCLEAR,asker reports LOWER timestamps overwriting higher (realized failure)
qa_forum,apache/hudi issue #8780,sort_key_a,UNCLEAR,generic sort key; config-change conflict
qa_forum,apache/hudi issue #2345,ts,UNCLEAR,default DEFAULT_PRECOMBINE_FIELD_OPT_VAL=ts
qa_forum,apache/hudi issue #8451,timestamp,UNCLEAR,structured streaming insert precombine issue
qa_forum,apache/hudi issue #9870,timestamp,UNCLEAR,upsert producing duplicate data
qa_forum,apache/hudi issue #9635,ts,UNCLEAR,COW vs MOR inconsistent precombine
qa_forum,apache/hudi issue #6074,ts,UNCLEAR,Flink SQL data duplication same partition
qa_forum,apache/hudi issue #9714,time,UNCLEAR,MOR duplicate data w/ metadata table
qa_forum,Apache Hudi dev list msg303149,"timestamp,rider",UNCLEAR,composite ordering demo (timestamp + non-ts)
qa_forum,apache/hudi issue #4501,updated_at,VULNERABLE,duplicate records across partitions
qa_forum,apache/hudi issue #6869,abcd.recordedAt,VULNERABLE,nested business event timestamp
qa_forum,apache/hudi issue #10587,eff_fm_cent_tz,VULNERABLE,effective-from timestamp; upsert w/ RLI
