key_id,lsn,op,z,w_clamped,sigma400_w,sigma1500_w,sigma6000_w,real_delta400,real_delta1500,real_delta6000,original_ts,perturbed_ts400
7,7,r,-0.522352,-0.522352,-208.941,-783.527,-3134.11,-209,-784,-3135,1700000000007,1699999999798
7,3037,u,-0.411167,-0.411167,-164.467,-616.751,-2467.002,-165,-617,-2468,1700000003037,1700000002872
7,3459,u,-0.052787,-0.052787,-21.115,-79.181,-316.724,-22,-80,-317,1700000003459,1700000003437
7,4492,u,0.016189,0.016189,6.476,24.284,97.136,6,24,97,1700000004492,1700000004498
7,5968,u,1.042897,1.042897,417.159,1564.346,6257.383,417,1564,6257,1700000005968,1700000006385
8,8,r,0.401301,0.401301,160.521,601.952,2407.808,160,601,2407,1700000000008,1700000000168
8,4193,u,-0.631093,-0.631093,-252.437,-946.639,-3786.557,-253,-947,-3787,1700000004193,1700000003940
8,6014,u,-0.161217,-0.161217,-64.487,-241.825,-967.3,-65,-242,-968,1700000006014,1700000005949
8,7332,u,-0.050024,-0.050024,-20.01,-75.036,-300.144,-21,-76,-301,1700000007332,1700000007311
9,9,r,-0.094542,-0.094542,-37.817,-141.813,-567.25,-38,-142,-568,1700000000009,1699999999971
9,2311,u,-0.678908,-0.678908,-271.563,-1018.362,-4073.448,-272,-1019,-4074,1700000002311,1700000002039
9,2980,u,0.867344,0.867344,346.938,1301.017,5204.066,346,1301,5204,1700000002980,1700000003326
9,3815,u,0.332074,0.332074,132.83,498.112,1992.446,132,498,1992,1700000003815,1700000003947
9,6006,u,-0.984269,-0.984269,-393.708,-1476.403,-5905.613,-394,-1477,-5906,1700000006006,1700000005612
9,6860,u,-0.026707,-0.026707,-10.683,-40.06,-160.24,-11,-41,-161,1700000006860,1700000006849
10,10,r,1.144049,1.144049,457.62,1716.074,6864.295,457,1716,6864,1700000000010,1700000000467
10,1220,u,1.859788,1.859788,743.915,2789.683,11158.731,743,2789,11158,1700000001220,1700000001963
10,1864,u,-0.090189,-0.090189,-36.076,-135.284,-541.137,-37,-136,-542,1700000001864,1700000001827
10,2155,u,2.139789,2.139789,855.916,3209.684,12838.736,855,3209,12838,1700000002155,1700000003010
10,3165,u,0.656862,0.656862,262.745,985.293,3941.171,262,985,3941,1700000003165,1700000003427
10,3583,u,0.585122,0.585122,234.049,877.683,3510.732,234,877,3510,1700000003583,1700000003817
10,4775,u,-0.181406,-0.181406,-72.562,-272.109,-1088.436,-73,-273,-1089,1700000004775,1700000004702
10,4804,u,-0.27159,-0.27159,-108.636,-407.384,-1629.538,-109,-408,-1630,1700000004804,1700000004695
10,6338,u,-0.318488,-0.318488,-127.395,-477.733,-1910.93,-128,-478,-1911,1700000006338,1700000006210
10,6874,u,1.818104,1.818104,727.242,2727.156,10908.623,727,2727,10908,1700000006874,1700000007601
11,11,r,0.500327,0.500327,200.131,750.491,3001.964,200,750,3001,1700000000011,1700000000211
11,4539,u,1.09526,1.09526,438.104,1642.889,6571.557,438,1642,6571,1700000004539,1700000004977
12,12,r,0.440864,0.440864,176.346,661.297,2645.186,176,661,2645,1700000000012,1700000000188
12,1388,u,1.612637,1.612637,645.055,2418.955,9675.821,645,2418,9675,1700000001388,1700000002033
12,1674,u,0.218689,0.218689,87.476,328.033,1312.133,87,328,1312,1700000001674,1700000001761
12,2231,u,-1.444006,-1.444006,-577.602,-2166.008,-8664.034,-578,-2167,-8665,1700000002231,1700000001653
12,2451,u,-0.677259,-0.677259,-270.904,-1015.889,-4063.556,-271,-1016,-4064,1700000002451,1700000002180
12,5469,u,1.73226,1.73226,692.904,2598.39,10393.558,692,2598,10393,1700000005469,1700000006161
12,5679,u,0.410304,0.410304,164.122,615.456,2461.824,164,615,2461,1700000005679,1700000005843
12,6109,u,0.006375,0.006375,2.55,9.563,38.252,2,9,38,1700000006109,1700000006111
12,6199,u,0.064445,0.064445,25.778,96.668,386.672,25,96,386,1700000006199,1700000006224
13,13,r,0.994621,0.994621,397.849,1491.932,5967.728,397,1491,5967,1700000000013,1700000000410
13,1270,u,0.753863,0.753863,301.545,1130.794,4523.175,301,1130,4523,1700000001270,1700000001571
13,3051,u,-0.104115,-0.104115,-41.646,-156.172,-624.687,-42,-157,-625,1700000003051,1700000003009
13,3473,u,-2.144602,-2.144602,-857.841,-3216.903,-12867.613,-858,-3217,-12868,1700000003473,1700000002615
13,3518,u,0.20349,0.20349,81.396,305.235,1220.938,81,305,1220,1700000003518,1700000003599
13,4314,u,0.029126,0.029126,11.65,43.689,174.756,11,43,174,1700000004314,1700000004325
13,5204,u,-1.321008,-1.321008,-528.403,-1981.512,-7926.049,-529,-1982,-7927,1700000005204,1700000004675
13,6210,u,0.275017,0.275017,110.007,412.525,1650.1,110,412,1650,1700000006210,1700000006320
13,6385,u,0.690466,0.690466,276.187,1035.7,4142.799,276,1035,4142,1700000006385,1700000006661
14,14,r,2.942448,2.942448,1176.979,4413.672,17654.688,1176,4413,17654,1700000000014,1700000001190
14,2441,u,0.246498,0.246498,98.599,369.746,1478.986,98,369,1478,1700000002441,1700000002539
14,3351,u,1.270123,1.270123,508.049,1905.184,7620.735,508,1905,7620,1700000003351,1700000003859
14,3911,u,-1.387289,-1.387289,-554.915,-2080.933,-8323.732,-555,-2081,-8324,1700000003911,1700000003356
14,4689,u,-0.623093,-0.623093,-249.237,-934.64,-3738.56,-250,-935,-3739,1700000004689,1700000004439
14,5021,u,-0.868612,-0.868612,-347.445,-1302.919,-5211.675,-348,-1303,-5212,1700000005021,1700000004673
14,6743,u,-1.465203,-1.465203,-586.081,-2197.805,-8791.219,-587,-2198,-8792,1700000006743,1700000006156
14,7179,u,-1.592742,-1.592742,-637.097,-2389.113,-9556.45,-638,-2390,-9557,1700000007179,1700000006541
14,7250,u,0.112476,0.112476,44.99,168.714,674.856,44,168,674,1700000007250,1700000007294
15,15,r,-0.127482,-0.127482,-50.993,-191.222,-764.889,-51,-192,-765,1700000000015,1699999999964
15,4625,u,0.856168,0.856168,342.467,1284.252,5137.007,342,1284,5137,1700000004625,1700000004967
15,6363,u,-0.294722,-0.294722,-117.889,-442.083,-1768.331,-118,-443,-1769,1700000006363,1700000006245
16,16,r,0.100573,0.100573,40.229,150.859,603.437,40,150,603,1700000000016,1700000000056
16,1421,u,-2.17782,-2.17782,-871.128,-3266.729,-13066.918,-872,-3267,-13067,1700000001421,1700000000549
16,1782,u,-0.168484,-0.168484,-67.393,-252.726,-1010.902,-68,-253,-1011,1700000001782,1700000001714
16,1974,u,0.294764,0.294764,117.906,442.146,1768.583,117,442,1768,1700000001974,1700000002091
16,7379,u,-0.80062,-0.80062,-320.248,-1200.93,-4803.721,-321,-1201,-4804,1700000007379,1700000007058
18,18,r,0.80973,0.80973,323.892,1214.595,4858.38,323,1214,4858,1700000000018,1700000000341
18,1738,u,2.286173,2.286173,914.469,3429.259,13717.037,914,3429,13717,1700000001738,1700000002652
18,1868,u,0.12868,0.12868,51.472,193.02,772.079,51,193,772,1700000001868,1700000001919
18,1876,u,2.201183,2.201183,880.473,3301.774,13207.097,880,3301,13207,1700000001876,1700000002756
18,2279,u,0.561856,0.561856,224.742,842.783,3371.134,224,842,3371,1700000002279,1700000002503
18,3762,u,-0.401909,-0.401909,-160.763,-602.863,-2411.452,-161,-603,-2412,1700000003762,1700000003601
18,3863,u,-0.233026,-0.233026,-93.211,-349.54,-1398.159,-94,-350,-1399,1700000003863,1700000003769
18,4681,u,-0.704657,-0.704657,-281.863,-1056.985,-4227.942,-282,-1057,-4228,1700000004681,1700000004399
18,5338,u,-1.481684,-1.481684,-592.674,-2222.526,-8890.105,-593,-2223,-8891,1700000005338,1700000004745
18,5414,u,-0.860356,-0.860356,-344.143,-1290.534,-5162.138,-345,-1291,-5163,1700000005414,1700000005069
18,5741,u,-0.512953,-0.512953,-205.181,-769.43,-3077.719,-206,-770,-3078,1700000005741,1700000005535
18,6111,u,-0.642208,-0.642208,-256.883,-963.312,-3853.247,-257,-964,-3854,1700000006111,1700000005854
18,6341,u,0.049685,0.049685,19.874,74.528,298.111,19,74,298,1700000006341,1700000006360
18,6952,u,0.75458,0.75458,301.832,1131.869,4527.477,301,1131,4527,1700000006952,1700000007253
19,19,r,-0.041841,-0.041841,-16.736,-62.761,-251.044,-17,-63,-252,1700000000019,1700000000002
19,1753,u,-1.105313,-1.105313,-442.125,-1657.969,-6631.878,-443,-1658,-6632,1700000001753,1700000001310
19,2031,u,0.220606,0.220606,88.242,330.908,1323.633,88,330,1323,1700000002031,1700000002119
19,2764,u,-0.153855,-0.153855,-61.542,-230.782,-923.129,-62,-231,-924,1700000002764,1700000002702
19,3560,u,-1.074405,-1.074405,-429.762,-1611.607,-6446.428,-430,-1612,-6447,1700000003560,1700000003130
19,4067,u,0.186646,0.186646,74.659,279.97,1119.879,74,279,1119,1700000004067,1700000004141
19,4213,u,-1.503727,-1.503727,-601.491,-2255.59,-9022.359,-602,-2256,-9023,1700000004213,1700000003611
19,6126,u,0.640394,0.640394,256.158,960.591,3842.363,256,960,3842,1700000006126,1700000006382
19,6132,u,1.38873,1.38873,555.492,2083.096,8332.383,555,2083,8332,1700000006132,1700000006687
19,6627,u,0.636332,0.636332,254.533,954.499,3817.995,254,954,3817,1700000006627,1700000006881
20,20,r,-1.198241,-1.198241,-479.296,-1797.362,-7189.447,-480,-1798,-7190,1700000000020,1699999999540
20,1611,u,2.107355,2.107355,842.942,3161.033,12644.133,842,3161,12644,1700000001611,1700000002453
20,2378,u,0.572476,0.572476,228.991,858.715,3434.858,228,858,3434,1700000002378,1700000002606
21,21,r,0.732407,0.732407,292.963,1098.61,4394.44,292,1098,4394,1700000000021,1700000000313
21,1690,u,0.14861,0.14861,59.444,222.915,891.659,59,222,891,1700000001690,1700000001749
21,1698,u,-0.088143,-0.088143,-35.257,-132.215,-528.859,-36,-133,-529,1700000001698,1700000001662
21,2232,u,1.696811,1.696811,678.725,2545.217,10180.868,678,2545,10180,1700000002232,1700000002910
21,2503,u,0.443289,0.443289,177.315,664.933,2659.732,177,664,2659,1700000002503,1700000002680
21,2654,u,0.344394,0.344394,137.758,516.591,2066.363,137,516,2066,1700000002654,1700000002791
21,3159,u,0.077629,0.077629,31.052,116.443,465.773,31,116,465,1700000003159,1700000003190
21,4702,u,-0.678383,-0.678383,-271.353,-1017.574,-4070.295,-272,-1018,-4071,1700000004702,1700000004430
21,4908,u,1.102644,1.102644,441.057,1653.966,6615.862,441,1653,6615,1700000004908,1700000005349
21,4911,u,0.300881,0.300881,120.352,451.322,1805.287,120,451,1805,1700000004911,1700000005031
21,6518,u,-0.485818,-0.485818,-194.327,-728.727,-2914.907,-195,-729,-2915,1700000006518,1700000006323
21,6536,u,-0.8845,-0.8845,-353.8,-1326.75,-5306.998,-354,-1327,-5307,1700000006536,1700000006182
21,6632,u,0.541042,0.541042,216.417,811.563,3246.251,216,811,3246,1700000006632,1700000006848
22,22,r,1.630102,1.630102,652.041,2445.153,9780.612,652,2445,9780,1700000000022,1700000000674
22,2248,u,-0.089964,-0.089964,-35.986,-134.947,-539.786,-36,-135,-540,1700000002248,1700000002212
22,2520,u,-1.029346,-1.029346,-411.738,-1544.018,-6176.074,-412,-1545,-6177,1700000002520,1700000002108
22,4610,u,0.043369,0.043369,17.347,65.053,260.212,17,65,260,1700000004610,1700000004627
22,5211,u,1.798374,1.798374,719.349,2697.56,10790.241,719,2697,10790,1700000005211,1700000005930
23,23,r,0.47152,0.47152,188.608,707.28,2829.12,188,707,2829,1700000000023,1700000000211
23,1541,u,0.563896,0.563896,225.559,845.845,3383.378,225,845,3383,1700000001541,1700000001766
23,2354,u,-1.207137,-1.207137,-482.855,-1810.706,-7242.823,-483,-1811,-7243,1700000002354,1700000001871
23,2792,u,-0.601761,-0.601761,-240.705,-902.642,-3610.568,-241,-903,-3611,1700000002792,1700000002551
23,6457,u,-1.088157,-1.088157,-435.263,-1632.235,-6528.939,-436,-1633,-6529,1700000006457,1700000006021
23,6510,u,0.698026,0.698026,279.21,1047.038,4188.154,279,1047,4188,1700000006510,1700000006789
24,24,r,1.823679,1.823679,729.472,2735.518,10942.073,729,2735,10942,1700000000024,1700000000753
24,1929,u,-0.868196,-0.868196,-347.279,-1302.295,-5209.178,-348,-1303,-5210,1700000001929,1700000001581
24,6103,u,-1.000041,-1.000041,-400.017,-1500.062,-6000.249,-401,-1501,-6001,1700000006103,1700000005702
25,25,r,0.576783,0.576783,230.713,865.174,3460.697,230,865,3460,1700000000025,1700000000255
25,2338,u,0.260767,0.260767,104.307,391.151,1564.604,104,391,1564,1700000002338,1700000002442
26,26,r,-1.565523,-1.565523,-626.209,-2348.284,-9393.137,-627,-2349,-9394,1700000000026,1699999999399
26,2230,u,-0.081824,-0.081824,-32.73,-122.736,-490.945,-33,-123,-491,1700000002230,1700000002197
26,2292,u,1.058951,1.058951,423.58,1588.426,6353.703,423,1588,6353,1700000002292,1700000002715
26,2363,u,1.111772,1.111772,444.709,1667.658,6670.633,444,1667,6670,1700000002363,1700000002807
26,2957,u,-0.461584,-0.461584,-184.633,-692.375,-2769.501,-185,-693,-2770,1700000002957,1700000002772
26,3872,u,1.269206,1.269206,507.682,1903.809,7615.237,507,1903,7615,1700000003872,1700000004379
26,4453,u,0.372254,0.372254,148.902,558.381,2233.524,148,558,2233,1700000004453,1700000004601
26,4709,u,1.207171,1.207171,482.868,1810.756,7243.023,482,1810,7243,1700000004709,1700000005191
26,5580,u,0.845889,0.845889,338.356,1268.834,5075.336,338,1268,5075,1700000005580,1700000005918
26,6022,u,1.420823,1.420823,568.329,2131.235,8524.938,568,2131,8524,1700000006022,1700000006590
26,6762,u,-0.17561,-0.17561,-70.244,-263.416,-1053.662,-71,-264,-1054,1700000006762,1700000006691
27,27,r,1.016235,1.016235,406.494,1524.352,6097.409,406,1524,6097,1700000000027,1700000000433
27,1273,u,-0.414332,-0.414332,-165.733,-621.499,-2485.995,-166,-622,-2486,1700000001273,1700000001107
27,2544,u,-1.59993,-1.59993,-639.972,-2399.895,-9599.579,-640,-2400,-9600,1700000002544,1700000001904
28,28,r,1.214407,1.214407,485.763,1821.61,7286.44,485,1821,7286,1700000000028,1700000000513
28,1891,u,-0.055085,-0.055085,-22.034,-82.628,-330.511,-23,-83,-331,1700000001891,1700000001868
28,2546,u,0.751488,0.751488,300.595,1127.232,4508.927,300,1127,4508,1700000002546,1700000002846
28,2942,u,-1.584559,-1.584559,-633.824,-2376.839,-9507.356,-634,-2377,-9508,1700000002942,1700000002308
30,30,r,-0.372892,-0.372892,-149.157,-559.339,-2237.354,-150,-560,-2238,1700000000030,1699999999880
30,3261,u,0.584249,0.584249,233.7,876.373,3505.493,233,876,3505,1700000003261,1700000003494
30,3546,u,1.077666,1.077666,431.066,1616.499,6465.994,431,1616,6465,1700000003546,1700000003977
30,3688,u,0.602525,0.602525,241.01,903.788,3615.15,241,903,3615,1700000003688,1700000003929
30,5508,u,1.81625,1.81625,726.5,2724.375,10897.499,726,2724,10897,1700000005508,1700000006234
30,5722,u,-1.375091,-1.375091,-550.036,-2062.637,-8250.547,-551,-2063,-8251,1700000005722,1700000005171
30,5930,u,-0.883587,-0.883587,-353.435,-1325.38,-5301.522,-354,-1326,-5302,1700000005930,1700000005576
30,7062,u,1.08045,1.08045,432.18,1620.676,6482.702,432,1620,6482,1700000007062,1700000007494
31,31,r,1.18038,1.18038,472.152,1770.569,7082.278,472,1770,7082,1700000000031,1700000000503
31,1460,u,-0.249819,-0.249819,-99.927,-374.728,-1498.911,-100,-375,-1499,1700000001460,1700000001360
33,33,r,0.713478,0.713478,285.391,1070.218,4280.871,285,1070,4280,1700000000033,1700000000318
33,2164,u,1.097217,1.097217,438.887,1645.825,6583.301,438,1645,6583,1700000002164,1700000002602
33,3164,u,0.130775,0.130775,52.31,196.163,784.653,52,196,784,1700000003164,1700000003216
33,3817,u,0.007791,0.007791,3.116,11.687,46.747,3,11,46,1700000003817,1700000003820
33,4352,u,-0.867907,-0.867907,-347.163,-1301.86,-5207.44,-348,-1302,-5208,1700000004352,1700000004004
33,5039,u,0.377689,0.377689,151.075,566.533,2266.132,151,566,2266,1700000005039,1700000005190
33,5203,u,-0.900523,-0.900523,-360.209,-1350.784,-5403.137,-361,-1351,-5404,1700000005203,1700000004842
33,5355,u,-0.101687,-0.101687,-40.675,-152.531,-610.124,-41,-153,-611,1700000005355,1700000005314
33,6058,u,0.109158,0.109158,43.663,163.737,654.947,43,163,654,1700000006058,1700000006101
33,6978,u,-2.226705,-2.226705,-890.682,-3340.058,-13360.23,-891,-3341,-13361,1700000006978,1700000006087
34,34,r,0.639502,0.639502,255.801,959.253,3837.012,255,959,3837,1700000000034,1700000000289
34,2661,u,0.07609,0.07609,30.436,114.135,456.539,30,114,456,1700000002661,1700000002691
35,35,r,-0.202621,-0.202621,-81.048,-303.931,-1215.726,-82,-304,-1216,1700000000035,1699999999953
35,6100,u,-1.342431,-1.342431,-536.972,-2013.646,-8054.585,-537,-2014,-8055,1700000006100,1700000005563
36,36,r,0.773562,0.773562,309.425,1160.343,4641.37,309,1160,4641,1700000000036,1700000000345
36,1916,u,-0.888862,-0.888862,-355.545,-1333.293,-5333.172,-356,-1334,-5334,1700000001916,1700000001560
36,2161,u,-0.16641,-0.16641,-66.564,-249.615,-998.46,-67,-250,-999,1700000002161,1700000002094
36,3007,u,1.193522,1.193522,477.409,1790.283,7161.134,477,1790,7161,1700000003007,1700000003484
36,3082,u,1.164451,1.164451,465.78,1746.677,6986.707,465,1746,6986,1700000003082,1700000003547
36,5522,u,-1.143135,-1.143135,-457.254,-1714.702,-6858.81,-458,-1715,-6859,1700000005522,1700000005064
36,5932,u,0.684163,0.684163,273.665,1026.245,4104.98,273,1026,4104,1700000005932,1700000006205
36,6975,c,0.260076,0.260076,104.03,390.113,1560.453,104,390,1560,1700000006975,1700000007079
37,37,r,1.762961,1.762961,705.184,2644.441,10577.764,705,2644,10577,1700000000037,1700000000742
37,3042,u,0.56459,0.56459,225.836,846.885,3387.539,225,846,3387,1700000003042,1700000003267
37,5285,u,1.696551,1.696551,678.621,2544.827,10179.308,678,2544,10179,1700000005285,1700000005963
37,6410,u,-0.742903,-0.742903,-297.161,-1114.354,-4457.418,-298,-1115,-4458,1700000006410,1700000006112
38,38,r,0.714419,0.714419,285.768,1071.628,4286.513,285,1071,4286,1700000000038,1700000000323
38,3904,u,0.267279,0.267279,106.912,400.918,1603.673,106,400,1603,1700000003904,1700000004010
39,39,r,-0.999523,-0.999523,-399.809,-1499.285,-5997.14,-400,-1500,-5998,1700000000039,1699999999639
39,2542,u,0.783331,0.783331,313.332,1174.996,4699.984,313,1174,4699,1700000002542,1700000002855
39,2609,u,-0.142925,-0.142925,-57.17,-214.388,-857.553,-58,-215,-858,1700000002609,1700000002551
39,6618,u,0.819303,0.819303,327.721,1228.955,4915.819,327,1228,4915,1700000006618,1700000006945
39,6818,u,-0.382724,-0.382724,-153.09,-574.086,-2296.343,-154,-575,-2297,1700000006818,1700000006664
39,7067,u,-1.254804,-1.254804,-501.922,-1882.206,-7528.825,-502,-1883,-7529,1700000007067,1700000006565
40,40,r,0.963488,0.963488,385.395,1445.232,5780.93,385,1445,5780,1700000000040,1700000000425
40,1319,u,0.116148,0.116148,46.459,174.222,696.887,46,174,696,1700000001319,1700000001365
40,1645,u,-0.465118,-0.465118,-186.047,-697.677,-2790.709,-187,-698,-2791,1700000001645,1700000001458
40,3930,u,0.575437,0.575437,230.175,863.156,3452.625,230,863,3452,1700000003930,1700000004160
41,41,r,-0.210944,-0.210944,-84.377,-316.415,-1265.662,-85,-317,-1266,1700000000041,1699999999956
41,4840,u,-3.156213,-3.156213,-1262.485,-4734.319,-18937.276,-1263,-4735,-18938,1700000004840,1700000003577
41,6041,u,0.095414,0.095414,38.166,143.122,572.487,38,143,572,1700000006041,1700000006079
42,42,r,-0.841176,-0.841176,-336.47,-1261.764,-5047.056,-337,-1262,-5048,1700000000042,1699999999705
42,3020,u,0.440866,0.440866,176.346,661.299,2645.195,176,661,2645,1700000003020,1700000003196
42,4583,u,-0.27673,-0.27673,-110.692,-415.094,-1660.377,-111,-416,-1661,1700000004583,1700000004472
42,7186,u,0.616909,0.616909,246.763,925.363,3701.451,246,925,3701,1700000007186,1700000007432
43,43,r,0.348675,0.348675,139.47,523.012,2092.049,139,523,2092,1700000000043,1700000000182
43,1788,u,-0.475123,-0.475123,-190.049,-712.684,-2850.737,-191,-713,-2851,1700000001788,1700000001597
43,1924,u,-1.122137,-1.122137,-448.855,-1683.206,-6732.824,-449,-1684,-6733,1700000001924,1700000001475
43,2457,u,1.405184,1.405184,562.074,2107.776,8431.103,562,2107,8431,1700000002457,1700000003019
43,3183,u,-1.944198,-1.944198,-777.679,-2916.297,-11665.188,-778,-2917,-11666,1700000003183,1700000002405
43,3274,u,-1.017572,-1.017572,-407.029,-1526.357,-6105.429,-408,-1527,-6106,1700000003274,1700000002866
43,3922,u,1.01571,1.01571,406.284,1523.565,6094.26,406,1523,6094,1700000003922,1700000004328
43,3995,u,-0.695895,-0.695895,-278.358,-1043.842,-4175.368,-279,-1044,-4176,1700000003995,1700000003716
43,4091,u,0.922621,0.922621,369.048,1383.931,5535.725,369,1383,5535,1700000004091,1700000004460
43,5078,u,-0.464663,-0.464663,-185.865,-696.994,-2787.976,-186,-697,-2788,1700000005078,1700000004892
43,5111,u,2.122405,2.122405,848.962,3183.607,12734.428,848,3183,12734,1700000005111,1700000005959
43,5412,u,0.839937,0.839937,335.975,1259.905,5039.621,335,1259,5039,1700000005412,1700000005747
43,5771,u,1.250919,1.250919,500.367,1876.378,7505.512,500,1876,7505,1700000005771,1700000006271
43,6271,u,-0.162503,-0.162503,-65.001,-243.755,-975.019,-66,-244,-976,1700000006271,1700000006205
43,6615,u,0.640355,0.640355,256.142,960.532,3842.128,256,960,3842,1700000006615,1700000006871
44,44,r,-1.203738,-1.203738,-481.495,-1805.608,-7222.431,-482,-1806,-7223,1700000000044,1699999999562
44,1652,u,0.437237,0.437237,174.895,655.856,2623.425,174,655,2623,1700000001652,1700000001826
45,45,r,-0.008991,-0.008991,-3.596,-13.486,-53.944,-4,-14,-54,1700000000045,1700000000041
45,1416,u,0.202356,0.202356,80.942,303.534,1214.136,80,303,1214,1700000001416,1700000001496
45,1464,u,0.158749,0.158749,63.5,238.124,952.494,63,238,952,1700000001464,1700000001527
45,1474,u,1.160897,1.160897,464.359,1741.346,6965.384,464,1741,6965,1700000001474,1700000001938
45,1529,u,-0.262009,-0.262009,-104.804,-393.014,-1572.057,-105,-394,-1573,1700000001529,1700000001424
45,2224,u,-1.50442,-1.50442,-601.768,-2256.63,-9026.521,-602,-2257,-9027,1700000002224,1700000001622
45,2388,u,-0.114599,-0.114599,-45.84,-171.898,-687.593,-46,-172,-688,1700000002388,1700000002342
45,2392,u,-0.308844,-0.308844,-123.538,-463.266,-1853.064,-124,-464,-1854,1700000002392,1700000002268
45,2814,u,-0.283274,-0.283274,-113.31,-424.912,-1699.647,-114,-425,-1700,1700000002814,1700000002700
45,2882,u,1.523639,1.523639,609.455,2285.458,9141.832,609,2285,9141,1700000002882,1700000003491
45,3692,u,-0.903861,-0.903861,-361.545,-1355.792,-5423.168,-362,-1356,-5424,1700000003692,1700000003330
45,3720,u,-1.352245,-1.352245,-540.898,-2028.367,-8113.467,-541,-2029,-8114,1700000003720,1700000003179
45,3906,u,-0.158607,-0.158607,-63.443,-237.911,-951.645,-64,-238,-952,1700000003906,1700000003842
45,3914,u,-0.986835,-0.986835,-394.734,-1480.253,-5921.012,-395,-1481,-5922,1700000003914,1700000003519
45,4801,u,-0.312254,-0.312254,-124.902,-468.381,-1873.525,-125,-469,-1874,1700000004801,1700000004676
45,5427,u,0.742111,0.742111,296.844,1113.166,4452.664,296,1113,4452,1700000005427,1700000005723
45,5790,u,0.772953,0.772953,309.181,1159.43,4637.721,309,1159,4637,1700000005790,1700000006099
45,6063,u,-0.35171,-0.35171,-140.684,-527.565,-2110.261,-141,-528,-2111,1700000006063,1700000005922
45,7309,u,0.243248,0.243248,97.299,364.872,1459.49,97,364,1459,1700000007309,1700000007406
46,46,r,1.035291,1.035291,414.116,1552.936,6211.744,414,1552,6211,1700000000046,1700000000460
46,2125,u,-1.162892,-1.162892,-465.157,-1744.337,-6977.349,-466,-1745,-6978,1700000002125,1700000001659
46,2319,u,1.254026,1.254026,501.61,1881.039,7524.156,501,1881,7524,1700000002319,1700000002820
46,2474,u,0.518835,0.518835,207.534,778.252,3113.009,207,778,3113,1700000002474,1700000002681
46,2701,u,0.279073,0.279073,111.629,418.61,1674.441,111,418,1674,1700000002701,1700000002812
46,3861,u,-0.465554,-0.465554,-186.221,-698.33,-2793.322,-187,-699,-2794,1700000003861,1700000003674
46,4706,u,0.56249,0.56249,224.996,843.735,3374.941,224,843,3374,1700000004706,1700000004930
46,4935,u,-0.289844,-0.289844,-115.938,-434.766,-1739.064,-116,-435,-1740,1700000004935,1700000004819
