checkpoint	id	balance	note	lsn
1	177	1770	init	24345256
1	178	1780	init	24345392
1	179	1790	init	24345528
1	180	1800	init	24345664
1	181	1810	init	24345800
1	182	1820	init	24345936
1	183	1830	init	24346072
1	184	1840	init	24346208
1	185	1850	init	24346344
1	186	1860	init	24346480
1	187	1870	init	24346616
1	188	1880	init	24346776
1	189	1890	init	24346912
1	190	1900	init	24347048
1	191	1910	init	24347184
1	192	1920	init	24347320
1	193	1930	init	24347456
1	194	1940	init	24347592
1	195	1950	init	24347728
1	196	1960	init	24347864
1	197	1970	init	24348000
1	198	1980	init	24348136
1	199	1990	init	24348272
1	200	2000	init	24348408
2	7	71	bump1	24348648
2	14	141	bump1	24348880
2	21	211	bump1	24349112
2	28	281	bump1	24349344
2	35	351	bump1	24349576
2	42	421	bump1	24349808
2	49	491	bump1	24350040
2	56	561	bump1	24350272
2	63	631	bump1	24350504
2	70	701	bump1	24350736
2	77	771	bump1	24350968
2	84	841	bump1	24351200
2	91	911	bump1	24351432
2	98	981	bump1	24351664
2	105	1051	bump1	24351896
2	112	1121	bump1	24352128
2	119	1191	bump1	24352360
2	126	1261	bump1	24352592
2	133	1331	bump1	24352824
2	140	1401	bump1	24353056
2	147	1471	bump1	24353288
2	154	1541	bump1	24353520
2	161	1611	bump1	24353752
2	168	1681	bump1	24353984
2	175	1751	bump1	24354216
2	182	1821	bump1	24354448
2	189	1891	bump1	24354624
2	196	1961	bump1	24354728
3	42	9999	target-v2	24355168
4	42	4242	target-v1	24355016
